name,URL,company,company_url,sweet_spot,range
Eman Pulis,https://signal.nfx.com/investors/eman-pulis,Ikigai Ventures,https://signal.nfx.com/firms/ikigai-ventures,$1.5M,$100K - $5.0M
Brian Stengel,https://signal.nfx.com/investors/brian-stengel,Trebuchet Partners,https://signal.nfx.com/firms/trebuchet-partners,$5,$1 - $10
Rami El-Jisr,https://signal.nfx.com/investors/rami-el-jisr,BY Venture Partners,https://signal.nfx.com/firms/by-venture-partners,$1.5M,$100K - $5.0M
Ghaith Yafi,https://signal.nfx.com/investors/ghaith-yafi,BY Venture Partners,https://signal.nfx.com/firms/by-venture-partners,$1.5M,$100K - $5.0M
Jennifer Wilcox,https://signal.nfx.com/investors/jennifer-wilcox,WestCap,https://signal.nfx.com/firms/westcap,$1.5M,$100K - $5.0M
Anuar Alshanbayev,https://signal.nfx.com/investors/anuar-alshanbayev,OLIMP NFT MARKETPLACE,https://signal.nfx.com/firms/olimp-nft-marketplace,$500K,$100K - $10.0M
Helga Valfells,https://signal.nfx.com/investors/helga-valfells,Crowberry Capital,https://signal.nfx.com/firms/crowberry-capital,$2.0M,$2.0M - $2.0M
Sang Ho Park,https://signal.nfx.com/investors/sang-ho-park,Korea Investment Partners,https://signal.nfx.com/firms/korea-investment-partners,$1.5M,$100K - $5.0M
Cliff Boro,https://signal.nfx.com/investors/cliff-boro,Entry Ventures Group,https://signal.nfx.com/firms/entry-ventures-group,$500K,$25K - $500K
Chris Adamo,https://signal.nfx.com/investors/chris-adamo,Predictive VC,https://signal.nfx.com/firms/predictive-vc,$1.5M,$100K - $5.0M
Nick Davidov,https://signal.nfx.com/investors/nicholas-davidov,Davidovs VC,https://signal.nfx.com/firms/davidovs-vc,$100K,$20K - $200K
Andy Johnston,https://signal.nfx.com/investors/andy-johnston,Brightly Ventures,https://signal.nfx.com/firms/brightly-ventures,$1.5M,$100K - $5.0M
Bradford Smith,https://signal.nfx.com/investors/bradford-smith,Duro Ventures,https://signal.nfx.com/firms/duro-ventures,$150K,$1K - $500K
Christian Rasmussen,https://signal.nfx.com/investors/christian-rasmussen,Dreamcraft,https://signal.nfx.com/firms/dreamcraft,$1.5M,$500K - $2.5M
Rick Viton,https://signal.nfx.com/investors/rick-viton,IA Capital Group,https://signal.nfx.com/firms/ia-capital-group,$1.5M,$100K - $5.0M
Evan Mair,https://signal.nfx.com/investors/evan-mair,Gumi Cryptos Capital,https://signal.nfx.com/firms/gumi-cryptos-capital,$1.5M,$100K - $5.0M
Matt Law,https://signal.nfx.com/investors/matt-law,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
Scott Collen,https://signal.nfx.com/investors/scott-collen,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
David Rabie,https://signal.nfx.com/investors/david-rabie,Pioneer Fund,https://signal.nfx.com/firms/pioneer-fund,$1.5M,$100K - $5.0M
Tushar Aggarwal,https://signal.nfx.com/investors/tushar-aggarwal,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
